7389	0.34689 0.58264 0.07047
13969	0.70881 0.25040 0.04080
9770	0.06599 0.91116 0.02285
3044	0.87082 0.10754 0.02164
4053	0.79255 0.17901 0.02843
10121	0.26333 0.70162 0.03505
1350	0.06212 0.91004 0.02784
2534	0.36012 0.60014 0.03974
44769	0.99504 0.00444 0.00052
3385	0.85312 0.12159 0.02529
10806	0.04809 0.93561 0.01630
1645	0.55607 0.39201 0.05192
1474	0.38529 0.54281 0.07190
7339	0.11257 0.87514 0.01229
34350	0.35683 0.61655 0.02662
7966	0.07203 0.90490 0.02307
21446	0.47284 0.46550 0.06166
986	0.84231 0.13262 0.02507
3716	0.86577 0.11671 0.01752
9727	0.05892 0.93090 0.01018
48965	0.87236 0.09622 0.03142
12250	0.08452 0.89025 0.02523
9583	0.70246 0.25170 0.04584
3050	0.96185 0.03359 0.00456
15953	0.57321 0.37445 0.05234
5658	0.38132 0.55563 0.06304
12890	0.70192 0.24676 0.05132
3663	0.21762 0.72621 0.05616
9865	0.55869 0.38248 0.05883
32009	0.40539 0.53183 0.06278
11314	0.64302 0.30883 0.04815
7265	0.03406 0.95675 0.00919
25378	0.73308 0.23385 0.03307
268	0.98302 0.01375 0.00323
11720	0.71747 0.24929 0.03325
17798	0.33474 0.61929 0.04597
1183	0.78574 0.17791 0.03636
40535	0.88292 0.08852 0.02857
21641	0.04983 0.92939 0.02077
6293	0.19541 0.75127 0.05332
9220	0.97347 0.02279 0.00374
2021	0.80792 0.16069 0.03140
2117	0.93760 0.05284 0.00957
1036	0.47494 0.46258 0.06248
7831	0.73518 0.22280 0.04203
21827	0.35093 0.58885 0.06021
3675	0.14353 0.81591 0.04056
33404	0.89744 0.08778 0.01478
10216	0.16492 0.80311 0.03197
19966	0.02001 0.97091 0.00907
43418	0.01324 0.98162 0.00514
5710	0.29709 0.66558 0.03733
10588	0.09456 0.88754 0.01791
493	0.83293 0.14043 0.02664
2054	0.06317 0.92577 0.01106
45786	0.82811 0.14043 0.03146
36334	0.94956 0.04182 0.00861
29432	0.34322 0.59536 0.06142
4329	0.14012 0.81304 0.04684
17044	0.77741 0.18866 0.03392
12792	0.92306 0.05498 0.02196
10004	0.10354 0.87205 0.02440
6272	0.53029 0.40778 0.06193
15834	0.13863 0.84258 0.01880
24089	0.52558 0.42314 0.05128
4547	0.47406 0.47685 0.04909
14667	0.03956 0.94958 0.01086
21871	0.22461 0.74006 0.03533
10791	0.46724 0.48775 0.04501
